name,smiles,group,formula,molecular_weight,rotatable_bonds,H_bond_donors,H_bond_acceptors,TPSA,logP,melting_point,boiling_point,density,vapor_pressure,enthalpy_of_formation,heat_capacity,critical_temperature,critical_pressure,acentric_factor,viscosity,thermal_conductivity,price,property_name,property_phase_raw,property_phase_norm,phase_coarse,temperature_K,pressure_kPa,expanded_uncertainty,doi,title,journal,year,primary_inchi,primary_inchikey,source_file,component_regnum,component_count,is_mixture,structure_source,structure_key,abs_delta_T_ref,abs_delta_P_ref
1-bromo-5-chloropentane,ClCCCCCBr,Experimental,C5H10BrCl,185.492,4.0,0.0,0.0,0.0,2.790400000000001,-,-,-,-,-,220.72,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Liquid,liquid,liquid,298.15,101.325,3.82,10.1021/je201002j,"Heat Capacity of alpha,omega-Bromochloroalkanes and ?,?-Dibromoalkanes: Their Dependence on the Hydrocarbon Chain Length and Temperature (285.15 to 355.15) K",J. Chem. Eng. Data,2012,InChI=1S/C5H10BrCl/c6-4-2-1-3-5-7/h1-5H2,PHHNNDKXQVKJEP-UHFFFAOYSA-N,je201002j.json,13,1,False,inchi,inchikey::PHHNNDKXQVKJEP-UHFFFAOYSA-N,0.0,
1-bromo-6-chlorohexane,ClCCCCCCBr,Experimental,C6H12BrCl,199.519,5.0,0.0,0.0,0.0,3.180500000000002,-,-,-,-,-,247.47,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Liquid,liquid,liquid,298.15,101.325,4.29,10.1021/je201002j,"Heat Capacity of alpha,omega-Bromochloroalkanes and ?,?-Dibromoalkanes: Their Dependence on the Hydrocarbon Chain Length and Temperature (285.15 to 355.15) K",J. Chem. Eng. Data,2012,InChI=1S/C6H12BrCl/c7-5-3-1-2-4-6-8/h1-6H2,JTYUIAOHIYZBPB-UHFFFAOYSA-N,je201002j.json,14,1,False,inchi,inchikey::JTYUIAOHIYZBPB-UHFFFAOYSA-N,0.0,
1-butyl-3-methylpyridinium trifluoromethanesulfonate,CCCC[n+]1cccc(C)c1.O=S(=O)([O-])C(F)(F)F,Experimental,C11H16F3NO3S,299.31399999999996,3.0,0.0,3.0,61.08,2.1340200000000005,-,-,-,-,-,520.0,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Liquid,liquid,liquid,298.15,101.325,10.0,10.1021/je201334p,Article Physical and Excess Properties of Eight Binary Mixtures Containing Water and Ionic Liquids,J. Chem. Eng. Data,2012,"InChI=1S/C10H16N.CHF3O3S/c1-3-4-7-11-8-5-6-10(2)9-11;2-1(3,4)8(5,6)7/h5-6,8-9H,3-4,7H2,1-2H3;(H,5,6,7)/q+1;/p-1",SZBRISJDXSIRRE-UHFFFAOYSA-M,je201334p.json,4,1,False,inchi,inchikey::SZBRISJDXSIRRE-UHFFFAOYSA-M,0.0,
1-hexyl-3-methylimidazolium dicyanamide,CCCCCCn1cc[n+](C)c1.N#C[N-]C#N,Experimental,C12H19N5,233.31900000000002,5.0,0.0,3.0,70.49,2.21516,-,-,-,-,-,534.0,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Liquid,liquid,liquid,298.15,101.325,11.0,10.1021/je201334p,Article Physical and Excess Properties of Eight Binary Mixtures Containing Water and Ionic Liquids,J. Chem. Eng. Data,2012,"InChI=1S/C10H19N2.C2N3/c1-3-4-5-6-7-12-9-8-11(2)10-12;3-1-5-2-4/h8-10H,3-7H2,1-2H3;/q+1;-1",ZCFGUWTYMYQBKZ-UHFFFAOYSA-N,je201334p.json,6,1,False,inchi,inchikey::ZCFGUWTYMYQBKZ-UHFFFAOYSA-N,0.0,
1-methylpyridinium methylsulfate,COS(=O)(=O)[O-].C[n+]1ccccc1,Experimental,C7H11NO4S,205.23499999999999,1.0,0.0,4.0,70.31,-0.3958999999999997,-,-,-,-,-,299.0,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Liquid,liquid,liquid,298.15,101.325,6.0,10.1021/je201334p,Article Physical and Excess Properties of Eight Binary Mixtures Containing Water and Ionic Liquids,J. Chem. Eng. Data,2012,"InChI=1S/C6H8N.CH4O4S/c1-7-5-3-2-4-6-7;1-5-6(2,3)4/h2-6H,1H3;1H3,(H,2,3,4)/q+1;/p-1",QZJOMPYEGLQVQM-UHFFFAOYSA-M,je201334p.json,8,1,False,inchi,inchikey::QZJOMPYEGLQVQM-UHFFFAOYSA-M,0.0,
"1,2-diethylpyridinium ethylsulfate",CCOS(=O)(=O)[O-].CCc1cccc[n+]1CC,Experimental,C11H19NO4S,261.3429999999999,4.0,0.0,4.0,70.31,1.0395,-,-,-,-,-,412.0,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Liquid,liquid,liquid,298.15,101.325,8.0,10.1021/je201334p,Article Physical and Excess Properties of Eight Binary Mixtures Containing Water and Ionic Liquids,J. Chem. Eng. Data,2012,"InChI=1S/C9H14N.C2H6O4S/c1-3-9-7-5-6-8-10(9)4-2;1-2-6-7(3,4)5/h5-8H,3-4H2,1-2H3;2H2,1H3,(H,3,4,5)/q+1;/p-1",NXBJFTWHMXIONT-UHFFFAOYSA-M,je201334p.json,9,1,False,inchi,inchikey::NXBJFTWHMXIONT-UHFFFAOYSA-M,0.0,
2-octylisoquinolinium thiocyanate,CCCCCCCC[n+]1ccc2ccccc2c1.N#C[S-],Experimental,C18H24N2S,300.471,7.0,0.0,2.0,27.669999999999998,4.5021800000000045,-,-,-,-,-,522.0,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Liquid,liquid,liquid,298.15,101.325,17.0,10.1021/je300853z,"Measurements, Correlations, and Predictions of Thermodynamic Properties of N-Octylisoquinolinium Thiocyanate Ionic Liquid and Its Aqueous Solutions",J. Chem. Eng. Data,2013,"InChI=1S/C17H24N.CHNS/c1-2-3-4-5-6-9-13-18-14-12-16-10-7-8-11-17(16)15-18;2-1-3/h7-8,10-12,14-15H,2-6,9,13H2,1H3;3H/q+1;/p-1",FPZLTPVICARBHW-UHFFFAOYSA-M,je300853z.json,1,1,False,inchi,inchikey::FPZLTPVICARBHW-UHFFFAOYSA-M,0.0,
copper(II) tetrahydroxide sulfate,O=S(=O)([O-])[O-].[Cu+2].[Cu+2].[Cu+2].[OH-].[OH-].[OH-].[OH-],Experimental,H4Cu3O8S,354.729,0.0,0.0,8.0,200.26,-2.0527,-,-,-,-,-,246.6,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Crystal,solid,solid,298.15,101.325,1.2,10.1021/je400130b,Heat Capacities of Natural Antlerite and Brochantite at Low Temperature,J. Chem. Eng. Data,2013,"InChI=1S/3Cu.H2O4S.4H2O/c;;;1-5(2,3)4;;;;/h;;;(H2,1,2,3,4);4*1H2/q3*+2;;;;;/p-6",PGZPBCJSKZAQMA-UHFFFAOYSA-H,je400130b.json,1,1,False,inchi,inchikey::PGZPBCJSKZAQMA-UHFFFAOYSA-H,0.0,
ethyl octanoate,CCCCCCCC(=O)OCC,Experimental,C10H20O2,172.268,7.0,0.0,2.0,26.3,2.910000000000001,-,-,-,-,-,343.11862208,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Liquid,liquid,liquid,298.15,101.325,5.32300704,10.1021/je400157s,High-Pressure Physicochemical Properties of Ethyl Caprylate and Ethyl Caprate,J. Chem. Eng. Data,2013,"InChI=1S/C10H20O2/c1-3-5-6-7-8-9-10(11)12-4-2/h3-9H2,1-2H3",YYZUSRORWSJGET-UHFFFAOYSA-N,je400157s.json,1,1,False,inchi,inchikey::YYZUSRORWSJGET-UHFFFAOYSA-N,0.0,
ethyl decanoate,CCCCCCCCCC(=O)OCC,Experimental,C12H24O2,200.32199999999997,9.0,0.0,2.0,26.3,3.6902000000000026,-,-,-,-,-,403.342201798,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Liquid,liquid,liquid,298.15,101.325,6.2499511776,10.1021/je400157s,High-Pressure Physicochemical Properties of Ethyl Caprylate and Ethyl Caprate,J. Chem. Eng. Data,2013,"InChI=1S/C12H24O2/c1-3-5-6-7-8-9-10-11-12(13)14-4-2/h3-11H2,1-2H3",RGXWDWUGBIJHDO-UHFFFAOYSA-N,je400157s.json,2,1,False,inchi,inchikey::RGXWDWUGBIJHDO-UHFFFAOYSA-N,0.0,
diethyl 2-acetamidomalonate,CCOC(=O)C(N=C(C)O)C(=O)OCC,Experimental,C9H15NO5,217.22099999999998,5.0,1.0,5.0,85.19000000000001,0.45759999999999973,-,-,-,-,-,312.2,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Crystal,solid,solid,298.15,101.325,1.9,10.1021/je400159e,Heat Capacity and Thermodynamic Property Studies of Diethyl Acetamidomalonate (C9H15NO5),J. Chem. Eng. Data,2013,"InChI=1S/C9H15NO5/c1-4-14-8(12)7(10-6(3)11)9(13)15-5-2/h7H,4-5H2,1-3H3,(H,10,11)",ISOLMABRZPQKOV-UHFFFAOYSA-N,je400159e.json,1,1,False,inchi,inchikey::ISOLMABRZPQKOV-UHFFFAOYSA-N,0.0,
2-methylaniline,Cc1ccccc1N,Experimental,C7H9N,107.156,0.0,1.0,1.0,26.02,1.57722,-,-,-,-,-,217.16,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Liquid,liquid,liquid,298.15,101.325,3.36,10.1021/je4004965,Thermodynamic Properties of Ternary Mixtures Containing Ionic Liquid and Organic Liquids: Excess Molar Volume and Excess Isentropic Compressibility,J. Chem. Eng. Data,2014,"InChI=1S/C7H9N/c1-6-4-2-3-5-7(6)8/h2-5H,8H2,1H3",RNVCVTLRINQCPJ-UHFFFAOYSA-N,je4004965.json,2,1,False,inchi,inchikey::RNVCVTLRINQCPJ-UHFFFAOYSA-N,0.0,
triphenyl-.lambda.5-stibanediyl bis(adamantane-1-carboxylate),O=C([O-])C12CC3CC(CC(C3)C1)C2.O=C([O-])C12CC3CC(CC(C3)C1)C2.[Sb+2].[c]1ccccc1.[c]1ccccc1.[c]1ccccc1,Experimental,C40H45O4Sb,711.5560000000002,2.0,0.0,4.0,80.25999999999999,5.984970000000006,-,-,-,-,-,734.7,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Crystal,solid,solid,298.15,101.325,4.9,10.1021/je400535t,Heat Capacity and Standard Thermodynamic Functions of Triphenylantimony Bis(1-adamantanecarboxylate) over the Range from (0 to 520) K,J. Chem. Eng. Data,2013,"InChI=1S/2C11H16O2.3C6H5.Sb/c2*12-10(13)11-4-7-1-8(5-11)3-9(2-7)6-11;3*1-2-4-6-5-3-1;/h2*7-9H,1-6H2,(H,12,13);3*1-5H;/q;;;;;+2/p-2",CXOOZHGQWXMBSX-UHFFFAOYSA-L,je400535t.json,1,1,False,inchi,inchikey::CXOOZHGQWXMBSX-UHFFFAOYSA-L,0.0,
N-formyl-L-methionyl-L-leucyl-L-phenylalanine,CSCC[C@H](N=CO)C(O)=N[C@@H](CC(C)C)C(O)=N[C@@H](Cc1ccccc1)C(=O)O,Experimental,C21H31N3O5S,437.56200000000007,13.0,4.0,5.0,135.07,3.718000000000001,-,-,-,-,-,567.6,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Crystal,solid,solid,298.15,101.325,7.7,10.1021/je400879v,Standard Thermodynamic Functions of Tripeptides N-Formyl-l-methionyl-l-leucyl-l-phenylalaninol and N-Formyl-l-methionyl-l-leucyl-l-phenylalanine Methyl Ester,J. Chem. Eng. Data,2014,"InChI=1S/C21H31N3O5S/c1-14(2)11-17(23-19(26)16(22-13-25)9-10-30-3)20(27)24-18(21(28)29)12-15-7-5-4-6-8-15/h4-8,13-14,16-18H,9-12H2,1-3H3,(H,22,25)(H,23,26)(H,24,27)(H,28,29)/t16-,17-,18-/m0/s1",PRQROPMIIGLWRP-BZSNNMDCSA-N,je400879v.json,1,1,False,inchi,inchikey::PRQROPMIIGLWRP-BZSNNMDCSA-N,0.0,
methyl formyl-L-methionyl-L-leucyl-L-phenylalaninate,COC(=O)[C@H](Cc1ccccc1)N=C(O)[C@H](CC(C)C)N=C(O)[C@H](CCSC)N=CO,Experimental,C22H33N3O5S,451.58900000000006,13.0,3.0,6.0,124.07000000000001,3.806400000000001,-,-,-,-,-,597.6,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Crystal,solid,solid,298.15,101.325,4.4,10.1021/je400879v,Standard Thermodynamic Functions of Tripeptides N-Formyl-l-methionyl-l-leucyl-l-phenylalaninol and N-Formyl-l-methionyl-l-leucyl-l-phenylalanine Methyl Ester,J. Chem. Eng. Data,2014,"InChI=1S/C22H33N3O5S/c1-15(2)12-18(24-20(27)17(23-14-26)10-11-31-4)21(28)25-19(22(29)30-3)13-16-8-6-5-7-9-16/h5-9,14-15,17-19H,10-13H2,1-4H3,(H,23,26)(H,24,27)(H,25,28)/t17-,18-,19-/m0/s1",FTDSTRQDCPIBEG-FHWLQOOXSA-N,je400879v.json,2,1,False,inchi,inchikey::FTDSTRQDCPIBEG-FHWLQOOXSA-N,0.0,
aniline,Nc1ccccc1,Experimental,C6H7N,93.129,0.0,1.0,1.0,26.02,1.2688,-,-,-,-,-,191.33,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Liquid,liquid,liquid,298.15,101.325,2.96,10.1021/je401098b,Excess Heat Capacities of Binary and Ternary Mixtures Containing 1-Ethyl-3-methylimidazolium Tetrafluoroborate and Anilines,J. Chem. Eng. Data,2014,"InChI=1S/C6H7N/c7-6-4-2-1-3-5-6/h1-5H,7H2",PAYRUJLWNCNPSJ-UHFFFAOYSA-N,je401098b.json,2,1,False,inchi,inchikey::PAYRUJLWNCNPSJ-UHFFFAOYSA-N,0.0,
"2,4(1H,3H)-pyrimidinedione, 5-amino-",Nc1cnc(O)nc1O,Experimental,C4H5N3O2,127.10299999999998,0.0,3.0,5.0,92.26,-0.5300000000000001,-,-,-,-,-,145.0,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Crystal,solid,solid,298.15,101.325,2.9,10.1021/je6005168,Molar Heat Capacities of Aminouracils by Differential Scanning Calorimetry,J. Chem. Eng. Data,2007,"InChI=1S/C4H5N3O2/c5-2-1-6-4(9)7-3(2)8/h1H,5H2,(H2,6,7,8,9)",BISHACNKZIBDFM-UHFFFAOYSA-N,je6005168.json,1,1,False,inchi,inchikey::BISHACNKZIBDFM-UHFFFAOYSA-N,0.0,
6-aminouracil,Nc1cc(O)nc(O)n1,Experimental,C4H5N3O2,127.10299999999998,0.0,3.0,5.0,92.26,-0.5300000000000001,-,-,-,-,-,147.0,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Crystal,solid,solid,298.15,101.325,2.9,10.1021/je6005168,Molar Heat Capacities of Aminouracils by Differential Scanning Calorimetry,J. Chem. Eng. Data,2007,"InChI=1S/C4H5N3O2/c5-2-1-3(8)7-4(9)6-2/h1H,(H4,5,6,7,8,9)",LNDZXOWGUAIUBG-UHFFFAOYSA-N,je6005168.json,2,1,False,inchi,inchikey::LNDZXOWGUAIUBG-UHFFFAOYSA-N,0.0,
"6-amino-1,3-dimethyluracil",Cn1c(N)cc(=O)n(C)c1=O,Experimental,C6H9N3O2,155.157,0.0,1.0,5.0,70.02,-1.3337999999999997,-,-,-,-,-,189.0,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Crystal,solid,solid,298.15,101.325,3.8,10.1021/je6005168,Molar Heat Capacities of Aminouracils by Differential Scanning Calorimetry,J. Chem. Eng. Data,2007,"InChI=1S/C6H9N3O2/c1-8-4(7)3-5(10)9(2)6(8)11/h3H,7H2,1-2H3",VFGRNTYELNYSKJ-UHFFFAOYSA-N,je6005168.json,3,1,False,inchi,inchikey::VFGRNTYELNYSKJ-UHFFFAOYSA-N,0.0,
6-amino-1-methyluracil,Cn1c(N)cc(O)nc1=O,Experimental,C5H7N3O2,141.13,0.0,2.0,5.0,81.13999999999999,-0.9319000000000004,-,-,-,-,-,166.2,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Crystal,solid,solid,298.15,101.325,3.3,10.1021/je6005168,Molar Heat Capacities of Aminouracils by Differential Scanning Calorimetry,J. Chem. Eng. Data,2007,"InChI=1S/C5H7N3O2/c1-8-3(6)2-4(9)7-5(8)10/h2H,6H2,1H3,(H,7,9,10)",GZLZRPNUDBIQBM-UHFFFAOYSA-N,je6005168.json,4,1,False,inchi,inchikey::GZLZRPNUDBIQBM-UHFFFAOYSA-N,0.0,
2-methyltetrahydrofuran,CC1CCCO1,Experimental,C5H10O,86.13399999999999,0.0,0.0,1.0,9.23,1.1853,-,-,-,-,-,156.9,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Liquid,liquid,liquid,298.15,101.325,2.4,10.1021/je600557n,"Molar Heat Capacities, Densities, Viscosities, and Refractive Indices of Dimethyl Sulfoxide + Tetrahydropyran and + 2-Methyltetrahydrofuran at (293.15, 303.15, and 313.15) K",J. Chem. Eng. Data,2007,"InChI=1S/C5H10O/c1-5-3-2-4-6-5/h5H,2-4H2,1H3",JWUJQDFVADABEY-UHFFFAOYSA-N,je600557n.json,3,1,False,inchi,inchikey::JWUJQDFVADABEY-UHFFFAOYSA-N,0.0,
1-butyl-3-methylimidazolium tosylate,CCCCn1cc[n+](C)c1.Cc1ccc(S(=O)(=O)[O-])cc1,Experimental,C15H22N2O3S,310.41900000000004,4.0,0.0,4.0,66.00999999999999,2.01182,-,-,-,-,-,412.7,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Crystal 1,solid,solid,298.15,101.325,3.7,10.1021/je700152c,"1-Butyl-3-methylimidazolium Tosylate Ionic Liquid: Heat Capacity, Thermal Stability, and Phase Equilibrium of Its Binary Mixtures with Water and Caprolactam",J. Chem. Eng. Data,2007,"InChI=1S/C8H15N2.C7H8O3S/c1-3-4-5-10-7-6-9(2)8-10;1-6-2-4-7(5-3-6)11(8,9)10/h6-8H,3-5H2,1-2H3;2-5H,1H3,(H,8,9,10)/q+1;/p-1",VWFZFKKEKWMXIA-UHFFFAOYSA-M,je700152c.json,3,1,False,inchi,inchikey::VWFZFKKEKWMXIA-UHFFFAOYSA-M,0.0,
silver chloride,[Ag+].[Cl-],Experimental,AgCl,143.321,0.0,0.0,0.0,0.0,-2.9985,-,-,-,-,-,60.33,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Crystal,solid,solid,298.15,101.325,2.0,10.1021/je700668b,Thermodynamic Properties of AgCl and AgBr,J. Chem. Eng. Data,2008,InChI=1S/Ag.ClH/h;1H/q+1;/p-1,HKZLPVFGJNLROG-UHFFFAOYSA-M,je700668b.json,1,1,False,inchi,inchikey::HKZLPVFGJNLROG-UHFFFAOYSA-M,0.0,
silver bromide,[Ag+].[Br-],Experimental,AgBr,187.772,0.0,0.0,0.0,0.0,-2.9985,-,-,-,-,-,56.55,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Crystal,solid,solid,298.15,101.325,1.88,10.1021/je700668b,Thermodynamic Properties of AgCl and AgBr,J. Chem. Eng. Data,2008,InChI=1S/Ag.BrH/h;1H/q+1;/p-1,ADZWSOLPGZMUMY-UHFFFAOYSA-M,je700668b.json,2,1,False,inchi,inchikey::ADZWSOLPGZMUMY-UHFFFAOYSA-M,0.0,
"(3,4-dimethoxyphenyl)acetonitrile",COc1ccc(CC#N)cc1OC,Experimental,C10H11NO2,177.203,3.0,0.0,3.0,42.25,1.76988,-,-,-,-,-,243.5,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Crystal,solid,solid,298.15,101.325,3.6,10.1021/je800203s,"Heat Capacities and Thermodynamic Properties of (3,4-Dimethoxyphenyl) Acetonitrile (C10H11NO2)",J. Chem. Eng. Data,2009,"InChI=1S/C10H11NO2/c1-12-9-4-3-8(5-6-11)7-10(9)13-2/h3-4,7H,5H2,1-2H3",ASLSUMISAQDOOB-UHFFFAOYSA-N,je800203s.json,5,1,False,inchi,inchikey::ASLSUMISAQDOOB-UHFFFAOYSA-N,0.0,
N-octyl-3-methylpyridinium tetrafluoroborate,CCCCCCCC[n+]1cccc(C)c1.F[B-](F)(F)F,Experimental,C14H24BF4N,293.157,7.0,0.0,0.0,3.88,4.943020000000005,-,-,-,-,-,450.5,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Liquid,liquid,liquid,298.15,101.325,27.0,10.1021/je8002095,Thermophysical Properties of N-Octyl-3-methylpyridinium Tetrafluoroborate,J. Chem. Eng. Data,2009,"InChI=1S/C14H24N.BF4/c1-3-4-5-6-7-8-11-15-12-9-10-14(2)13-15;2-1(3,4)5/h9-10,12-13H,3-8,11H2,1-2H3;/q+1;-1",RISKGJQQAHJQNE-UHFFFAOYSA-N,je8002095.json,1,1,False,inchi,inchikey::RISKGJQQAHJQNE-UHFFFAOYSA-N,0.0,
tricesium hexachlorocerate,[Ce+3].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cs+].[Cs+].[Cs+],Experimental,CeCl6Cs3,751.5489999999999,0.0,0.0,0.0,0.0,-26.963999999999995,-,-,-,-,-,285.57,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Crystal 2,solid,solid,298.15,101.325,17.6,10.1021/je8002223,Thermodynamic Characterization of the Congruently Melting Cs3CeCl6 Compound,J. Chem. Eng. Data,2008,InChI=1S/Ce.6ClH.3Cs/h;6*1H;;;/q+3;;;;;;;3*+1/p-6,WWMXAHNFJSWNGG-UHFFFAOYSA-H,je8002223.json,1,1,False,inchi,inchikey::WWMXAHNFJSWNGG-UHFFFAOYSA-H,0.0,
uridine,O=c1nc(O)ccn1[C@@H]1O[C@H](CO)C(O)C1O,Experimental,C9H12N2O6,244.20299999999997,2.0,4.0,8.0,125.04,-2.4396,-,-,-,-,-,292.34,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Crystal,solid,solid,298.15,101.325,5.85,10.1021/je800243y,Molar Heat Capacities of Some Derivatives of Uridine and 2'-Deoxyuridine,J. Chem. Eng. Data,2008,"InChI=1S/C9H12N2O6/c12-3-4-6(14)7(15)8(17-4)11-2-1-5(13)10-9(11)16/h1-2,4,6-8,12,14-15H,3H2,(H,10,13,16)/t4-,6?,7?,8-/m1/s1",DRTQHJPVMGBUCF-AYZDMWBASA-N,je800243y.json,1,1,False,inchi,inchikey::DRTQHJPVMGBUCF-AYZDMWBASA-N,0.0,
2'-deoxyuridine,O=c1nc(O)ccn1[C@H]1C[C@H](O)[C@@H](CO)O1,Experimental,C9H12N2O5,228.20399999999998,2.0,3.0,7.0,104.81000000000002,-1.4104,-,-,-,-,-,263.41,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Crystal,solid,solid,298.15,101.325,5.27,10.1021/je800243y,Molar Heat Capacities of Some Derivatives of Uridine and 2'-Deoxyuridine,J. Chem. Eng. Data,2008,"InChI=1S/C9H12N2O5/c12-4-6-5(13)3-8(16-6)11-2-1-7(14)10-9(11)15/h1-2,5-6,8,12-13H,3-4H2,(H,10,14,15)/t5-,6+,8+/m0/s1",MXHRCPNRJAMMIM-SHYZEUOFSA-N,je800243y.json,2,1,False,inchi,inchikey::MXHRCPNRJAMMIM-SHYZEUOFSA-N,0.0,
"2,4-dihdroxy-5-iodo-1-.beta.-D-ribofurnosylpyrimidine",O=c1nc(O)c(I)cn1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,Experimental,C9H11IN2O6,370.09900000000005,2.0,4.0,8.0,125.04,-1.835,-,-,-,-,-,337.43,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Crystal,solid,solid,298.15,101.325,6.75,10.1021/je800243y,Molar Heat Capacities of Some Derivatives of Uridine and 2'-Deoxyuridine,J. Chem. Eng. Data,2008,"InChI=1S/C9H11IN2O6/c10-3-1-12(9(17)11-7(3)16)8-6(15)5(14)4(2-13)18-8/h1,4-6,8,13-15H,2H2,(H,11,16,17)/t4-,5-,6-,8-/m1/s1",RKSLVDIXBGWPIS-UAKXSSHOSA-N,je800243y.json,3,1,False,inchi,inchikey::RKSLVDIXBGWPIS-UAKXSSHOSA-N,0.0,
5-bromouridine,O=c1nc(O)c(Br)cn1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,Experimental,C9H11BrN2O6,323.09900000000005,2.0,4.0,8.0,125.04,-1.6771000000000003,-,-,-,-,-,305.69,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Crystal,solid,solid,298.15,101.325,6.11,10.1021/je800243y,Molar Heat Capacities of Some Derivatives of Uridine and 2'-Deoxyuridine,J. Chem. Eng. Data,2008,"InChI=1S/C9H11BrN2O6/c10-3-1-12(9(17)11-7(3)16)8-6(15)5(14)4(2-13)18-8/h1,4-6,8,13-15H,2H2,(H,11,16,17)/t4-,5-,6-,8-/m1/s1",AGFIRQJZCNVMCW-UAKXSSHOSA-N,je800243y.json,4,1,False,inchi,inchikey::AGFIRQJZCNVMCW-UAKXSSHOSA-N,0.0,
5-iodo-2'-deoxyuridine,O=c1nc(O)c(I)cn1[C@H]1C[C@H](O)[C@@H](CO)O1,Experimental,C9H11IN2O5,354.1,2.0,3.0,7.0,104.81000000000002,-0.8058000000000001,-,-,-,-,-,285.34,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Crystal,solid,solid,298.15,101.325,5.71,10.1021/je800243y,Molar Heat Capacities of Some Derivatives of Uridine and 2'-Deoxyuridine,J. Chem. Eng. Data,2008,"InChI=1S/C9H11IN2O5/c10-4-2-12(9(16)11-8(4)15)7-1-5(14)6(3-13)17-7/h2,5-7,13-14H,1,3H2,(H,11,15,16)/t5-,6+,7+/m0/s1",XQFRJNBWHJMXHO-RRKCRQDMSA-N,je800243y.json,5,1,False,inchi,inchikey::XQFRJNBWHJMXHO-RRKCRQDMSA-N,0.0,
5-bromo-2'-deoxyuridine,O=c1nc(O)c(Br)cn1[C@H]1C[C@H](O)[C@@H](CO)O1,Experimental,C9H11BrN2O5,307.1,2.0,3.0,7.0,104.81000000000002,-0.6479000000000001,-,-,-,-,-,260.65,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Crystal,solid,solid,298.15,101.325,5.21,10.1021/je800243y,Molar Heat Capacities of Some Derivatives of Uridine and 2'-Deoxyuridine,J. Chem. Eng. Data,2008,"InChI=1S/C9H11BrN2O5/c10-4-2-12(9(16)11-8(4)15)7-1-5(14)6(3-13)17-7/h2,5-7,13-14H,1,3H2,(H,11,15,16)/t5-,6+,7+/m0/s1",WOVKYSAHUYNSMH-RRKCRQDMSA-N,je800243y.json,6,1,False,inchi,inchikey::WOVKYSAHUYNSMH-RRKCRQDMSA-N,0.0,
thymidine,Cc1cn([C@H]2CC(O)[C@@H](CO)O2)c(=O)nc1O,Experimental,C10H14N2O5,242.231,2.0,3.0,7.0,104.81000000000002,-1.1019800000000002,-,-,-,-,-,276.7,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Crystal,solid,solid,298.15,101.325,5.53,10.1021/je800243y,Molar Heat Capacities of Some Derivatives of Uridine and 2'-Deoxyuridine,J. Chem. Eng. Data,2008,"InChI=1S/C10H14N2O5/c1-5-3-12(10(16)11-9(5)15)8-2-6(14)7(4-13)17-8/h3,6-8,13-14H,2,4H2,1H3,(H,11,15,16)/t6?,7-,8-/m1/s1",IQFYYKKMVGJFEH-SPDVFEMOSA-N,je800243y.json,7,1,False,inchi,inchikey::IQFYYKKMVGJFEH-SPDVFEMOSA-N,0.0,
